Library,Component,ComponentDescription,Threat,ThreatDescription,Category,Severity,STRIDE,Mitigation,SecurityRequirement,SecurityRequirementDescription,Priority,SecurityRequirementCategory,Standard,TestCase,TestCaseDescription,Property,PropertyValue
Security Engineering,Industrial IoT Temperature Sensor,"An industrial IoT temperature sensor that measures temperature ranges 
                from -40°C to 125°C. It communicates via UART and I2C protocols,
                is powered by 3.3V supply, and contains firmware for calibration 
                and data processing. The sensor stores calibration data in EEPROM
                and can transmit readings to external systems over the network.",Firmware Update Exploit,"An attacker exploits the inability to update firmware to gain control over the temperature sensor, using known vulnerabilities in the existing firmware to execute arbitrary code.",Network Attack,Critical,Elevation of Privilege,Implement a secure firmware update mechanism with cryptographic signatures.,Implement Secure Firmware Update Mechanism,"The industrial IoT temperature sensor must implement a secure firmware update mechanism that includes cryptographic signing of firmware images and verification of signatures before installation. The update process must require authentication of the update source and ensure that only firmware from trusted sources is accepted. Acceptance criteria include: 1) Firmware images must be signed using a secure algorithm (e.g., RSA 2048 or ECDSA) and verified before installation; 2) The update process must log all update attempts, including success and failure events, for auditing purposes; 3) Unauthorized firmware updates must be rejected, and the device must remain in a secure state.",Critical,Authentication,IEC 62443-4-1:2018 - Secure Software Development Lifecycle Requirements,Verify Secure Firmware Update Mechanism with Signature Verification,"1) Setup/preconditions: Ensure the industrial IoT temperature sensor is powered on and connected to a secure network. Prepare two firmware images: one valid firmware image signed with a secure algorithm (RSA 2048 or ECDSA) and one invalid firmware image (unsigned or signed with an incorrect key). 2) Step-by-step test procedure: a) Initiate the firmware update process on the sensor with the valid firmware image. b) Observe the logs for the update attempt and verify that the signature is checked. c) Confirm that the firmware is installed successfully. d) Now, initiate the firmware update process with the invalid firmware image. e) Observe the logs for the update attempt and verify that the signature verification fails. f) Confirm that the firmware is not installed, and the sensor remains in its previous secure state. 3) What to observe/measure: Check the logs for both update attempts, ensuring they include success/failure events, and verify the state of the firmware after each attempt.",,
Security Engineering,Industrial IoT Temperature Sensor,"An industrial IoT temperature sensor that measures temperature ranges 
                from -40°C to 125°C. It communicates via UART and I2C protocols,
                is powered by 3.3V supply, and contains firmware for calibration 
                and data processing. The sensor stores calibration data in EEPROM
                and can transmit readings to external systems over the network.",EEPROM Wear-Out Attack,"An attacker intentionally triggers excessive write operations to the EEPROM, causing it to fail and leading to loss of calibration data, which can disrupt operations.",Tampering,High,Tampering,Implement wear leveling and limit write operations to critical data only.,Implement EEPROM Write Limitations and Monitoring,"The temperature sensor must implement a write limitation mechanism that restricts the number of write operations to the EEPROM to a maximum of 1000 writes per calibration cycle. Additionally, the system must include a monitoring feature that logs write operations and alerts if the threshold is approached (e.g., 900 writes) to prevent EEPROM wear-out attacks. The logging must be retained for at least 30 days for audit purposes.",High,Data Protection,IEC 62443-4-2:2019 - Security Controls for Industrial Automation and Control Systems,Verify EEPROM Write Limitations and Monitoring Functionality,"1) Setup/preconditions: Ensure the industrial IoT temperature sensor is powered on and properly calibrated. Connect to the sensor using UART or I2C communication. Ensure logging functionality is enabled and accessible. 2) Step-by-step test procedure: a) Initiate a calibration cycle by performing a write operation to the EEPROM. b) Continuously write to the EEPROM, counting each write operation until reaching 1000 writes. c) Monitor the system for alerts or logs indicating that the write threshold of 900 has been approached. d) After reaching 1000 writes, attempt to perform an additional write operation and observe the system's response. e) Check the log retention to ensure that write operations are logged and retained for at least 30 days. 3) What to observe/measure: Count the number of successful write operations, check for alerts when approaching the 900 write threshold, and verify that no writes are allowed after reaching the 1000 write limit.",,
Security Engineering,Industrial IoT Temperature Sensor,"An industrial IoT temperature sensor that measures temperature ranges 
                from -40°C to 125°C. It communicates via UART and I2C protocols,
                is powered by 3.3V supply, and contains firmware for calibration 
                and data processing. The sensor stores calibration data in EEPROM
                and can transmit readings to external systems over the network.",Physical Side-Channel Attack,"An attacker uses physical side-channel attacks to extract sensitive information, such as calibration data, by monitoring power consumption or electromagnetic emissions.",Physical Access,High,Information Disclosure,Implement shielding and noise generation techniques to obscure side-channel signals.,Implement Physical Security Measures to Mitigate Side-Channel Attacks,"The industrial IoT temperature sensor must incorporate physical security measures to prevent side-channel attacks. This includes the use of shielding materials to reduce electromagnetic emissions and power analysis attacks, as well as tamper-evident seals on the device housing. Acceptance criteria include: 1) The sensor must pass a standardized electromagnetic emissions test (e.g., IEC 61000-4-3) with emissions below specified thresholds. 2) The sensor must have tamper-evident seals that show visible signs of tampering if removed. 3) The design must ensure that calibration data stored in EEPROM is inaccessible without physical access to the device.",High,Physical Security,IEC 62443-4-2,Verify Physical Security Measures Against Side-Channel Attacks,"1) Setup/preconditions: Ensure the industrial IoT temperature sensor is powered on and operational. Verify that the device is installed in a controlled environment free from external electromagnetic interference. 2) Step-by-step test procedure: a) Conduct an electromagnetic emissions test using a spectrum analyzer according to IEC 61000-4-3 standards. Measure the emissions in the frequency range specified by the standard. b) Inspect the device housing for tamper-evident seals. Attempt to remove the seals and observe for visible signs of tampering. c) Attempt to access the calibration data stored in EEPROM by powering the device down and removing the housing. Ensure that the EEPROM is not accessible without physical access to the device. 3) What to observe/measure: Record the electromagnetic emissions levels, check the integrity of tamper-evident seals, and verify the accessibility of EEPROM data.",,
Security Engineering,Industrial IoT Temperature Sensor,"An industrial IoT temperature sensor that measures temperature ranges 
                from -40°C to 125°C. It communicates via UART and I2C protocols,
                is powered by 3.3V supply, and contains firmware for calibration 
                and data processing. The sensor stores calibration data in EEPROM
                and can transmit readings to external systems over the network.",Unauthorized Register Access,"An attacker exploits improper access control on the UART/I2C interfaces to gain unauthorized access to sensitive registers, allowing them to modify sensor settings.",Network Attack,High,Elevation of Privilege,Enforce strict access controls and authentication for all communication interfaces.,Implement Access Control for UART/I2C Interfaces,"Access to the UART and I2C interfaces must be restricted through a robust access control mechanism that ensures only authenticated and authorized entities can modify sensitive registers. All access attempts must be logged, and unauthorized access attempts must trigger an alert. Acceptance criteria include: 1) Implementation of role-based access control (RBAC) for register access, 2) Verification that unauthorized access attempts are denied and logged, 3) Successful access by authorized users must be confirmed through testing.",High,Authorization (access control),NIST 800-53 AC-3,Verify Role-Based Access Control for UART/I2C Interfaces,"1) Setup: Ensure the industrial IoT temperature sensor is powered on and connected to a test environment with UART/I2C access. Configure two user roles: 'admin' (authorized) and 'guest' (unauthorized). 2) Step 1: Attempt to access sensitive registers via UART/I2C using the 'admin' role and modify a calibration register. 3) Step 2: Log the access attempt and verify that the modification is successful. 4) Step 3: Attempt to access the same sensitive registers using the 'guest' role and try to modify the same calibration register. 5) Step 4: Observe the system's response to the unauthorized access attempt, ensuring it is denied. 6) Step 5: Check the access logs to confirm that the unauthorized access attempt was logged and an alert was triggered. 7) Step 6: Review the logs for both access attempts to ensure they contain the correct user role, timestamp, and action taken.",,
Security Engineering,Industrial IoT Temperature Sensor,"An industrial IoT temperature sensor that measures temperature ranges 
                from -40°C to 125°C. It communicates via UART and I2C protocols,
                is powered by 3.3V supply, and contains firmware for calibration 
                and data processing. The sensor stores calibration data in EEPROM
                and can transmit readings to external systems over the network.",Debug Message Information Leak,Debug messages generated during normal operation inadvertently expose sensitive information about the sensor's internal state and calibration data.,Information Disclosure,High,Information Disclosure,Disable debug messages in production environments or ensure they do not reveal sensitive information.,Restrict Debug Message Output to Authorized Interfaces,"The industrial IoT temperature sensor must ensure that all debug messages are disabled in production environments and only accessible through secure, authenticated interfaces during development. Debug messages must not contain sensitive information such as calibration data or internal state details. Acceptance criteria include: 1) Debug messages are completely disabled in the firmware configuration for production mode; 2) Any debug output in development mode must be restricted to authenticated users only; 3) Code reviews and static analysis must confirm that no sensitive information is logged in debug messages.",High,Error Handling,NIST 800-53 SI-11,Verify Debug Message Output Restrictions in Production Mode,1) Setup/preconditions: Ensure the industrial IoT temperature sensor is configured in production mode with the latest firmware. Connect the sensor to a UART interface for monitoring debug outputs. 2) Step-by-step test procedure: a) Power on the sensor and initiate the production mode. b) Attempt to access the debug output via the UART interface. c) Observe if any debug messages are outputted. d) Verify that the firmware configuration settings indicate debug messages are disabled. 3) What to observe/measure: Monitor the UART output for any debug messages and check the firmware configuration settings.,,
Security Engineering,Industrial IoT Temperature Sensor,"An industrial IoT temperature sensor that measures temperature ranges 
                from -40°C to 125°C. It communicates via UART and I2C protocols,
                is powered by 3.3V supply, and contains firmware for calibration 
                and data processing. The sensor stores calibration data in EEPROM
                and can transmit readings to external systems over the network.",Data Remanence Attack,"An attacker retrieves residual calibration data from the EEPROM after the device has been decommissioned or firmware updated, leading to potential exploitation.",Physical Access,Medium,Information Disclosure,Implement secure data erasure methods prior to decommissioning or firmware updates.,Implement EEPROM Data Erasure Protocol,"Upon decommissioning or firmware update of the industrial IoT temperature sensor, the EEPROM must be securely erased using a method that ensures all residual calibration data is irretrievable. The erasure process must overwrite the EEPROM contents with zeros or random data at least three times. Acceptance criteria include successful verification that no residual data can be retrieved through forensic analysis post-erasure.",Medium,Data Protection,NIST 800-88 Rev. 1 (Guidelines for Media Sanitization),Verify EEPROM Data Erasure Protocol Compliance,"1) Setup/preconditions: Ensure the industrial IoT temperature sensor is powered on and has valid calibration data stored in the EEPROM. Prepare a forensic analysis tool capable of reading EEPROM data. 2) Step-by-step test procedure: a) Record the current calibration data from the EEPROM using the forensic analysis tool. b) Initiate the EEPROM data erasure protocol by decommissioning the device or performing a firmware update. c) Confirm that the erasure process overwrites the EEPROM contents with zeros or random data at least three times as per the implementation. d) After the erasure process, power cycle the device to ensure all operations are completed. e) Use the forensic analysis tool to attempt to retrieve any residual calibration data from the EEPROM. 3) What to observe/measure: Observe the EEPROM data before and after the erasure process, and measure the ability of the forensic analysis tool to retrieve any data post-erasure.",,
Security Engineering,Industrial IoT Temperature Sensor,"An industrial IoT temperature sensor that measures temperature ranges 
                from -40°C to 125°C. It communicates via UART and I2C protocols,
                is powered by 3.3V supply, and contains firmware for calibration 
                and data processing. The sensor stores calibration data in EEPROM
                and can transmit readings to external systems over the network.",Electromagnetic Fault Injection,"An attacker uses electromagnetic fault injection to disrupt the normal operation of the sensor, potentially causing it to report false temperature readings.",Physical Access,Medium,Tampering,Implement fault detection mechanisms and design the hardware to be resilient against electromagnetic interference.,Implement Electromagnetic Shielding for Temperature Sensor,"The industrial IoT temperature sensor must be designed with electromagnetic shielding to protect against electromagnetic fault injection attacks. The shielding must be tested to ensure it can withstand electromagnetic interference (EMI) levels as defined by IEC 61000-4-3, specifically at frequencies used in the operational environment. Acceptance criteria include a minimum attenuation of 30 dB at frequencies from 80 MHz to 1 GHz, verified through laboratory testing.",Medium,Physical Security,IEC 61000-4-3,Verify Electromagnetic Shielding of Temperature Sensor,"1) Setup/preconditions: Ensure the industrial IoT temperature sensor is properly installed and powered on in a controlled laboratory environment. Use an EMI test chamber that complies with IEC 61000-4-3 standards. 2) Step-by-step test procedure: a) Connect the temperature sensor to a data acquisition system to record temperature readings. b) Set up an electromagnetic field generator capable of producing fields in the frequency range of 80 MHz to 1 GHz. c) Calibrate the generator to produce a continuous wave signal at 80 MHz, gradually increasing the frequency to 1 GHz in 10 MHz increments. d) For each frequency increment, measure the output of the temperature sensor while the electromagnetic field is applied. e) Record the temperature readings at each frequency and the corresponding electromagnetic field strength. 3) What to observe/measure: Measure the attenuation of the sensor's output signal in dB at each frequency and compare it to the expected output without EMI interference.",,
Security Engineering,Industrial IoT Temperature Sensor,"An industrial IoT temperature sensor that measures temperature ranges 
                from -40°C to 125°C. It communicates via UART and I2C protocols,
                is powered by 3.3V supply, and contains firmware for calibration 
                and data processing. The sensor stores calibration data in EEPROM
                and can transmit readings to external systems over the network.",Bypassing Alternate Interface Security,An attacker exploits a lack of protection on alternate communication interfaces (like UART or I2C) to gain unauthorized access to the sensor's data and control.,Network Attack,Medium,Spoofing,Implement security measures such as encryption and authentication on all communication interfaces.,Implement Secure Access Control for Alternate Interfaces,"All alternate communication interfaces (UART and I2C) of the industrial IoT temperature sensor must implement secure access control mechanisms to prevent unauthorized access. This includes requiring authentication for any data read/write operations and ensuring that only authorized firmware can interact with these interfaces. Acceptance criteria include: 1) Authentication must be enforced for all access attempts, with at least two-factor authentication (2FA) for critical operations; 2) Unauthorized access attempts must be logged and trigger alerts; 3) A security review must confirm that no unauthenticated access is possible.",Medium,Authorization (access control),NIST 800-53 AC-3,Verify Secure Access Control on UART Interface,"1) Setup/preconditions: Ensure the industrial IoT temperature sensor is powered on and connected to a test environment with UART access. Prepare a test script that attempts to read and write data over UART. Ensure that the firmware is the authorized version. 2) Step-by-step test procedure: a) Attempt to read data from the UART interface without authentication. b) Attempt to write data to the UART interface without authentication. c) Attempt to read data from the UART interface with valid authentication credentials. d) Attempt to write data to the UART interface with valid authentication credentials. e) Attempt to perform a critical operation (e.g., firmware update) with valid 2FA. f) Attempt to read data from the UART interface with invalid credentials. g) Attempt to write data to the UART interface with invalid credentials. 3) What to observe/measure: Monitor the UART interface for responses, and check logs for unauthorized access attempts and alerts triggered.",,
Security Engineering,Industrial IoT Temperature Sensor,"An industrial IoT temperature sensor that measures temperature ranges 
                from -40°C to 125°C. It communicates via UART and I2C protocols,
                is powered by 3.3V supply, and contains firmware for calibration 
                and data processing. The sensor stores calibration data in EEPROM
                and can transmit readings to external systems over the network.",Insufficient Physical Access Controls,"Inadequate physical security measures allow unauthorized personnel to access the sensor, potentially leading to tampering or data extraction.",Physical Access,Medium,Tampering,"Enhance physical security measures, including locks, surveillance, and access controls.",Implement Physical Access Controls for Industrial IoT Temperature Sensor,"Physical access to the industrial IoT temperature sensor must be restricted to authorized personnel only. This includes the installation of tamper-evident seals, locks on sensor enclosures, and access control systems that require authentication (e.g., keycards or biometric systems) for entry. Access logs must be maintained and reviewed monthly to ensure compliance. Acceptance criteria include: 100% of sensor installations must have physical locks, tamper-evident seals must be intact, and access logs must show no unauthorized access attempts.",Medium,Physical Security,"NIST 800-53 PE-3, IEC 62443-3-3",Verify Physical Access Controls for Industrial IoT Temperature Sensor,"1) Setup/preconditions: Ensure that the industrial IoT temperature sensor is installed in its designated location with physical access controls in place, including tamper-evident seals, locks on the sensor enclosure, and an access control system (e.g., keycard or biometric). Ensure that access logs are enabled and accessible for review. 2) Step-by-step test procedure: a) Inspect the sensor installation to confirm that a physical lock is installed on the enclosure and is operational. b) Check the tamper-evident seal for integrity; it should be intact without signs of tampering. c) Attempt to access the sensor enclosure using an unauthorized keycard or biometric input to verify that access is denied. d) Review the access logs for the past month to ensure there are no unauthorized access attempts recorded. 3) What to observe/measure: Confirm that the lock functions correctly, the tamper-evident seal is intact, access attempts are logged accurately, and unauthorized access is denied.",,
Security Engineering,Industrial IoT Temperature Sensor,"An industrial IoT temperature sensor that measures temperature ranges 
                from -40°C to 125°C. It communicates via UART and I2C protocols,
                is powered by 3.3V supply, and contains firmware for calibration 
                and data processing. The sensor stores calibration data in EEPROM
                and can transmit readings to external systems over the network.",Missing Root of Trust,"The absence of an immutable root of trust allows an attacker to bypass secure boot mechanisms, potentially executing untrusted firmware on the device.",Network Attack,Medium,Tampering,Implement a hardware-based root of trust to ensure only trusted firmware can be executed.,Establish Immutable Root of Trust for Firmware Integrity,"The industrial IoT temperature sensor must implement an immutable root of trust (RoT) mechanism that ensures the integrity and authenticity of the firmware during the boot process. This RoT must utilize a hardware-based secure element or Trusted Platform Module (TPM) to verify the firmware signature against a known good state before execution. Acceptance criteria include: 1) The firmware must be signed with a cryptographic key stored in the secure element, 2) The sensor must reject any unsigned or tampered firmware, and 3) A successful boot must log the firmware version and signature verification status.",Medium,Cryptography,NIST 800-193 - Platform Firmware Resiliency,Verify Firmware Integrity with Immutable Root of Trust,"1) Setup: Ensure the industrial IoT temperature sensor is powered on and connected to a secure network. Prepare two firmware images: one valid firmware image signed with the correct cryptographic key stored in the secure element, and one tampered or unsigned firmware image. 2) Step-by-step test procedure: a) Load the valid firmware image onto the sensor and initiate a boot sequence. b) Observe the boot process and check for logs indicating successful firmware verification. c) Record the firmware version and signature verification status from the logs. d) Next, load the tampered or unsigned firmware image onto the sensor and initiate another boot sequence. e) Observe the boot process for any error messages or rejections of the firmware. 3) What to observe/measure: Check the logs for the successful boot of the valid firmware and the rejection of the tampered/unsigned firmware.",,
